id,age,salaire_net,statut_pro,anciennete,situation_famille,nombre_enfants,autres_credits,montant_pret_demande,duree_mois,loan_type
adc4f116-015b-4799-923e-0e7bf3f4405f,58,2032,Fonctionnaire,10,Célibataire,0,389,6000,18,VOYAGE
e1b573d3-3db4-46d1-8e94-dbfd779d9270,41,2141,Commerçant,13,Veuf,1,0,118250,180,IMMO
8875d488-88a6-498c-a1cc-139de1cee4be,52,2261,Secteur Privé,14,Célibataire,0,0,220000,240,IMMO
48302e02-7d43-4572-bb00-2c31a4a7c7f4,35,1138,Fonctionnaire,19,Marié,4,237,82865,240,IMMO
5fd9dee4-960f-41c1-9598-926f7a9fd9e2,49,2868,Profession Libérale,15,Célibataire,3,0,8000,48,CONSO
e6f44d72-5e2f-4c45-ad62-1b2cbf77af15,61,1403,Secteur Privé,19,Veuf,3,708,11000,60,CONSO
1d3f0d67-da55-4053-a4cb-021ac159ac52,29,1429,Fonctionnaire,10,Divorcé,0,0,248000,300,IMMO
9681caf6-a7a7-4706-826d-a0117a58d79b,60,2642,Secteur Privé,13,Célibataire,1,0,25000,36,AUTO
84e52630-f75c-4636-8567-f1cd359fc79c,41,3394,Fonctionnaire,8,Divorcé,0,0,2000,24,VOYAGE
b8fb6955-97d0-4884-9956-58c1eab6c913,60,3614,Secteur Privé,6,Marié,0,0,128069,120,IMMO
bd5cb0e8-4bf8-4801-a4d0-63e8e25a6adb,39,1204,Secteur Privé,1,Célibataire,0,0,87669,240,IMMO
029063c9-80b6-4248-b9ef-a8ffa84e1751,35,510,Secteur Privé,2,Divorcé,0,0,9719,72,AUTO
9c5bd93c-02de-4700-9293-d8229ca9aa4b,59,2273,Secteur Privé,16,Marié,2,0,19000,72,AUTO
69518b45-def3-4a9b-9e8a-41c6c383aa65,35,1193,Fonctionnaire,10,Veuf,1,0,22598,48,AUTO
e740012d-c784-4fae-8fe9-fc0c91cff871,36,656,Retraité,8,Veuf,0,0,68420,300,IMMO
86aecb5e-a5c5-4ed9-91b2-f17ac50d8b73,50,1371,Fonctionnaire,20,Veuf,0,0,159185,300,IMMO
47b4686a-433d-4da5-97dc-b891a6ef50a3,38,3400,Secteur Privé,20,Divorcé,2,0,56000,48,AUTO
99d19d64-067f-442b-8ceb-b25d8624c2e3,34,619,Secteur Privé,9,Célibataire,2,167,13838,84,AUTO
e85030c5-7589-474f-934f-077a4af009f8,34,1793,Fonctionnaire,9,Célibataire,4,223,33000,84,AUTO
e45b0df1-9c60-4a4e-b8ea-80c257acc26e,54,1545,Secteur Privé,17,Veuf,3,0,33000,60,AUTO
c26925a0-8f74-4b00-8d30-dcd3b3ad72fa,61,2338,Fonctionnaire,11,Célibataire,1,0,63000,48,AUTO
4d95906e-ecd9-4e97-92a8-1adb199fc58d,35,3581,Secteur Privé,19,Divorcé,4,185,318000,240,IMMO
d85942bc-c2db-4201-8aa9-d1c4d49f47a5,60,1976,Fonctionnaire,5,Célibataire,3,775,70000,24,AUTO
d99cc77a-d37b-4083-b3df-b496f58ae5fb,49,3858,Secteur Privé,16,Veuf,4,0,1000,18,VOYAGE
f2256332-be81-4189-849f-08549c5e5679,56,1190,Fonctionnaire,4,Marié,2,584,23000,24,AUTO
942d9324-377d-4f3d-ad62-91d64b31fa45,58,2142,Secteur Privé,16,Marié,4,0,22000,12,CONSO
55ce7a43-a2cb-459a-b0d3-05f61386826f,21,7403,Profession Libérale,19,Marié,0,0,15000,24,AUTO
10c0c673-3b0b-4b5e-81db-e7f558cf546a,29,3002,Secteur Privé,8,Veuf,1,643,462000,300,IMMO
b9b71346-8b38-4f0c-b576-49677e459f0c,53,3189,Secteur Privé,6,Divorcé,0,0,175904,180,IMMO
97877641-ea48-4529-94b3-fc0d48b36666,43,2635,Secteur Privé,1,Divorcé,1,0,348000,240,IMMO
672a427f-7012-4351-884a-19fe5de4a662,38,3242,Secteur Privé,11,Veuf,0,0,361000,300,IMMO
2bccc623-283c-41f4-9bb1-65bdc916cbef,40,2388,Retraité,16,Divorcé,0,0,87000,180,IMMO
0763023b-93cf-4086-8611-8cf120a1b0fa,64,4410,Commerçant,17,Célibataire,0,0,26000,36,AUTO
01c9d373-52fe-4ca6-8ac2-ba9e933560f8,27,1570,Fonctionnaire,4,Célibataire,1,0,15000,24,AUTO
a028d9bd-b692-490e-8e44-98463a368143,47,3388,Secteur Privé,5,Marié,2,0,318000,300,IMMO
9f4d82ac-6c7e-4e40-a811-c4441496cedc,54,4614,Profession Libérale,20,Marié,0,0,55000,84,AUTO
204cbb51-1914-418a-bef9-bdb6a9002676,58,2536,Fonctionnaire,10,Veuf,2,0,7000,18,VOYAGE
25a637aa-6d83-4cc3-8e76-2f5cbc1da360,44,1199,Secteur Privé,20,Divorcé,0,0,11000,48,CONSO
9987a927-6d1c-4426-9b69-cb39fa04761a,38,3301,Secteur Privé,4,Divorcé,2,0,19000,84,AUTO
f0ebf823-650b-4d84-8ddc-bcd8ee9676b6,41,1286,Fonctionnaire,20,Veuf,4,0,10000,12,CONSO
0b5cb227-7d9c-43dc-a857-a8efab8aede5,33,5070,Profession Libérale,16,Célibataire,0,0,11000,12,CONSO
75130822-ac4f-42b9-86cc-3e330f3a1009,22,3101,Fonctionnaire,14,Célibataire,3,0,8000,60,CONSO
0ede7de3-8620-42fa-a93f-d686242adca9,47,1605,Secteur Privé,3,Divorcé,2,0,25000,24,AUTO
3b381491-27ce-4763-9d55-32b40e52f47a,65,3421,Secteur Privé,14,Célibataire,2,0,58000,48,AUTO
95eda2ed-04ea-434e-80e2-c777517605b2,63,2302,Secteur Privé,5,Veuf,1,0,54000,48,AUTO
a1e17b8f-be00-4532-993a-1ded4504a22c,55,2693,Profession Libérale,5,Divorcé,0,0,25000,24,AUTO
0472514e-9879-4f80-a31c-0b1d997090d2,37,2237,Retraité,17,Marié,0,0,261235,300,IMMO
73d7d8d6-2e13-4339-a5af-ced2d17c0edf,49,2460,Secteur Privé,14,Divorcé,0,0,27000,48,AUTO
f83f7f77-44b2-448c-9f7c-262aa873d977,62,3898,Secteur Privé,16,Divorcé,0,0,2000,12,CONSO
a9967b27-7209-4f89-83e4-aa5877619561,43,5746,Profession Libérale,15,Marié,0,0,488000,300,IMMO
e9879e6b-c8cf-4e98-818d-6619771c8b42,44,1882,Fonctionnaire,9,Célibataire,3,0,10000,48,CONSO
05dc87f0-db98-42bc-a8ca-eb0d2ee96795,22,3293,Secteur Privé,20,Divorcé,2,0,23000,48,AUTO
f60a53d4-0544-4823-bb70-3b6ecf19a941,31,925,Secteur Privé,8,Célibataire,1,752,43282,120,IMMO
c9261a83-af03-4217-b341-e482fc89951b,45,3013,Secteur Privé,0,Célibataire,0,0,4000,12,VOYAGE
68c09354-82f5-48e0-9996-10b2ece5e94a,39,1926,Secteur Privé,0,Divorcé,4,133,9000,18,VOYAGE
f7bd85ac-08f1-4b2c-8e42-0d1506e06dcd,39,5816,Profession Libérale,15,Divorcé,0,0,183000,180,IMMO
28289ecd-2e8a-4fe5-a478-524446075ee9,28,992,Secteur Privé,18,Veuf,1,0,26000,72,AUTO
510590ac-eb7c-4da1-a8ef-cac056de11e8,55,2851,Secteur Privé,20,Divorcé,3,0,453000,300,IMMO
0026bfc4-0d5b-4490-9ae8-06efbac3fbb9,29,2898,Fonctionnaire,10,Marié,3,0,464000,300,IMMO
9d433971-6b95-4a4c-a3b5-5a81cdb858a9,42,2096,Fonctionnaire,4,Divorcé,1,0,174324,240,IMMO
5b3df932-f718-481f-8369-8b48db5c92b5,65,2739,Fonctionnaire,12,Veuf,0,0,17000,24,CONSO
081c3809-d1d9-4581-a810-46e46108f27b,33,1783,Fonctionnaire,11,Divorcé,0,724,83666,120,IMMO
4c72e355-2036-4744-8da9-4c523810974f,36,1855,Profession Libérale,16,Divorcé,1,0,166298,300,IMMO
52a25d2d-c4ba-4eef-a4ce-0792cdc6fec7,23,3592,Secteur Privé,7,Veuf,0,0,77000,72,AUTO
b159248e-c335-4458-923b-5d852c3964ed,61,3548,Secteur Privé,8,Divorcé,0,0,62000,36,AUTO
da069f53-93e1-495a-8ba2-b1a5db7885f0,36,4982,Commerçant,5,Célibataire,0,0,8000,6,VOYAGE
2c6ac303-4b9b-4c40-8eb8-093e6bfef648,47,3319,Secteur Privé,20,Divorcé,2,0,428000,240,IMMO
92b53fa4-79a2-41e1-a3f8-514328ef92e4,24,2014,Fonctionnaire,11,Marié,2,0,83406,120,IMMO
