id,age,salaire_net,statut_pro,anciennete,situation_famille,nombre_enfants,autres_credits,montant_pret_demande,duree_mois,loan_type
f3f9efd1-a992-4016-b462-3eda322b3c8d,43,1446,Secteur Privé,7,Célibataire,2,0,7000,60,CONSO
e8658343-e254-4e2a-a328-133dc0e728e6,24,3191,Secteur Privé,0,Veuf,4,0,15000,24,AUTO
ae17411f-3627-4637-9921-859f29b44217,43,5564,Profession Libérale,2,Divorcé,1,244,328000,300,IMMO
8e2344c3-483b-4473-b552-a937fb48ec56,61,1681,Fonctionnaire,8,Divorcé,2,0,165557,300,IMMO
d5a52672-6747-412b-8bba-b614295ba1ee,44,2071,Fonctionnaire,17,Marié,4,360,20000,48,AUTO
1a359162-4dcc-4455-a94e-ea6b936e9828,45,4585,Profession Libérale,0,Célibataire,2,0,39000,36,AUTO
24f5e992-95c0-4f1a-a6b5-840f454c5ebb,36,1154,Fonctionnaire,10,Célibataire,0,0,177000,300,IMMO
ca968bf0-b2ee-4f09-9979-071114e4552a,22,2493,Secteur Privé,2,Célibataire,2,0,25000,12,CONSO
11f8e63a-f76e-4f3f-ac03-120d81f3df3a,56,2140,Fonctionnaire,19,Célibataire,0,0,14000,48,CONSO
12fc09bf-5833-4e4f-9075-9fb5f20638a4,39,3025,Fonctionnaire,3,Célibataire,1,0,46000,48,AUTO
e8193d5b-16e3-4106-844c-28f89d6edaf3,33,3127,Fonctionnaire,8,Marié,4,0,10000,24,VOYAGE
0abe722c-2b75-4d3e-910e-67188be6e8f6,54,3382,Secteur Privé,19,Marié,0,678,146000,240,IMMO
a6658534-6c0b-4f84-85ce-70b7cb8d7d1f,22,3383,Commerçant,20,Célibataire,2,0,7000,48,CONSO
01fe590c-a1e5-4d74-a877-d6b83d5dabd7,33,2186,Profession Libérale,19,Veuf,0,0,47000,48,AUTO
6a47eecb-8b3b-46b0-8da6-3880d316167a,23,3462,Secteur Privé,17,Célibataire,4,0,25000,48,CONSO
2476a06f-ba7f-4a39-8654-19e445e03942,40,2617,Fonctionnaire,15,Veuf,3,794,76000,72,AUTO
4690908a-3ddb-48d4-99b2-fd26dc341313,30,1092,Secteur Privé,7,Célibataire,2,552,50357,120,IMMO
4c01fbd9-a171-4e16-a6e5-4169ba12f2aa,27,3355,Fonctionnaire,20,Célibataire,0,0,26000,48,AUTO
aed556e8-d40c-41c8-9556-5e791b41b76e,35,1164,Fonctionnaire,0,Veuf,2,0,23350,84,AUTO
be2f5288-a182-4f2a-8861-a87dc3141b6e,48,1672,Secteur Privé,12,Veuf,4,208,59000,24,AUTO
